Date,Ind_Conf,Ind_Deaths,Ind_Rec,Hubei_Conf,Hubei_Deaths,Hubei_Rec,Italy_Conf,Italy_Deaths,Italy_Rec,Iran_Conf,Iran_Deaths,Iran_Rec,Spain_Conf,Spain_Deaths,Spain_Rec,Ger_Conf,Ger_Deaths,Ger_Rec
2020-01-22,0,0,0,444,17,28,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,444,17,28,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,549,24,31,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,761,40,32,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,1058,52,42,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,1423,76,45,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-28,0,0,0,3554,125,80,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-29,0,0,0,3554,125,88,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-30,0,0,0,4903,162,90,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-31,0,0,0,5806,204,141,2,0,0,0,0,0,0,0,0,5,0,0
2020-02-01,0,0,0,7153,249,168,2,0,0,0,0,0,1,0,0,8,0,0
2020-02-02,0,0,0,11177,350,295,2,0,0,0,0,0,1,0,0,10,0,0
2020-02-03,0,0,0,13522,414,386,2,0,0,0,0,0,1,0,0,12,0,0
2020-02-04,0,0,0,16678,479,522,2,0,0,0,0,0,1,0,0,12,0,0
2020-02-05,0,0,0,19665,549,633,2,0,0,0,0,0,1,0,0,12,0,0
2020-02-06,0,0,0,22112,618,817,2,0,0,0,0,0,1,0,0,12,0,0
2020-02-07,0,0,0,24953,699,1115,3,0,0,0,0,0,1,0,0,13,0,0
2020-02-08,0,0,0,27100,780,1439,3,0,0,0,0,0,1,0,0,13,0,0
2020-02-09,0,0,0,29631,871,1795,3,0,0,0,0,0,2,0,0,14,0,0
2020-02-10,0,0,0,31728,974,2222,3,0,0,0,0,0,2,0,0,14,0,0
2020-02-11,0,0,0,33366,1068,2639,3,0,0,0,0,0,2,0,0,16,0,0
2020-02-12,0,0,0,33366,1068,2686,3,0,0,0,0,0,2,0,0,16,0,0
2020-02-13,0,0,0,48206,1310,3459,3,0,0,0,0,0,2,0,0,16,0,1
2020-02-14,0,0,0,54406,1457,4774,3,0,0,0,0,0,2,0,0,16,0,1
2020-02-15,0,0,0,56249,1596,5623,3,0,0,0,0,0,2,0,2,16,0,1
2020-02-16,0,0,0,58182,1696,6639,3,0,0,0,0,0,2,0,2,16,0,1
2020-02-17,0,0,0,59989,1789,7862,3,0,0,0,0,0,2,0,2,16,0,1
2020-02-18,0,0,0,61682,1921,9128,3,0,0,0,0,0,2,0,2,16,0,12
2020-02-19,0,0,0,62031,2029,10337,3,0,0,2,2,0,2,0,2,16,0,12
2020-02-20,0,0,0,62442,2144,11788,3,0,0,5,2,0,2,0,2,16,0,12
2020-02-21,0,0,0,62662,2144,11881,20,1,0,18,4,0,2,0,2,16,0,14
2020-02-22,0,0,0,64084,2346,15299,62,2,1,28,5,0,2,0,2,16,0,14
2020-02-23,0,0,0,64084,2346,15343,155,3,2,43,8,0,2,0,2,16,0,14
2020-02-24,0,0,0,64287,2495,16748,229,7,1,61,12,0,2,0,2,16,0,14
2020-02-25,0,0,0,64786,2563,18971,322,10,1,95,16,0,6,0,2,17,0,14
2020-02-26,0,0,0,65187,2615,20969,453,12,3,139,19,49,13,0,2,27,0,15
2020-02-27,0,0,0,65596,2641,23383,655,17,45,245,26,49,15,0,2,46,0,16
2020-02-28,0,0,0,65914,2682,26403,888,21,46,388,34,73,32,0,2,48,0,16
2020-02-29,0,0,0,66337,2727,28993,1128,29,46,593,43,123,45,0,2,79,0,16
2020-03-01,0,0,0,66907,2761,31536,1694,34,83,978,54,175,84,0,2,130,0,16
2020-03-02,2,0,0,67103,2803,33934,2036,52,149,1501,66,291,120,0,2,159,0,16
2020-03-03,2,0,0,67217,2835,36208,2502,79,160,2336,77,291,165,1,2,196,0,16
2020-03-04,2,0,0,67332,2871,38557,3089,107,276,2922,92,552,222,2,2,262,0,16
2020-03-05,2,0,0,67466,2902,40592,3858,148,414,3513,107,739,259,3,2,482,0,16
2020-03-06,4,0,0,67592,2931,42033,4636,197,523,4747,124,913,400,5,2,670,0,17
2020-03-07,4,0,0,67666,2959,43500,5883,233,589,5823,145,1669,500,10,30,799,0,18
2020-03-08,6,0,0,67707,2986,45235,7375,366,622,6566,194,2134,673,17,30,1040,0,18
2020-03-09,19,0,0,67743,3008,46488,9172,463,724,7161,237,2394,1073,28,32,1176,2,18
2020-03-10,27,0,2,67760,3024,47743,10149,631,724,8042,291,2731,1695,35,32,1457,2,18
2020-03-11,34,1,2,67773,3046,49134,12462,827,1045,9000,354,2959,2277,54,183,1908,3,25
2020-03-12,34,1,2,67781,3056,50318,12462,827,1045,10075,429,2959,2277,55,183,2078,3,25
2020-03-13,69,4,2,67786,3062,51553,17660,1266,1439,11364,514,2959,5232,133,193,3675,7,46
2020-03-14,96,5,8,67790,3075,52960,21157,1441,1966,12729,611,2959,6391,195,517,4585,9,46
2020-03-15,117,5,8,67794,3085,54288,24747,1809,2335,13938,724,4590,7798,289,517,5795,11,46
2020-03-16,134,5,8,67798,3099,55142,27980,2158,2749,14991,853,4590,9942,342,530,7272,17,67
2020-03-17,172,5,8,67799,3111,56003,31506,2503,2941,16169,988,5389,11748,533,1028,9257,24,67
2020-03-18,227,19,11,67800,3122,56927,35713,2978,4025,17361,1135,5389,13910,623,1081,12327,28,105
2020-03-19,311,25,11,67800,3130,57682,41035,3405,4440,18407,1284,5710,17963,830,1107,15320,44,113
2020-03-20,369,32,15,67800,3133,58382,47021,4032,4440,19644,1433,6745,20410,1043,1588,19848,67,180
2020-03-21,450,38,15,67800,3139,58946,53578,4825,6072,20610,1556,7635,25374,1375,2125,22213,84,233
2020-03-22,514,48,29,67800,3144,59433,59138,5476,7024,21638,1685,7931,28768,1772,2575,24873,94,266
2020-03-23,514,48,29,67800,3153,59879,59138,5476,7024,21638,1685,7931,28768,1772,2575,24873,94,266
